sample_number,sim_time,pos_x,pos_y,pos_z,road_elevation_left,road_elevation_right
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,930.4336,-474.5318,122.6462,122.3481,122.2719
2,0.02,930.4336,-474.5318,122.6462,122.3481,122.2719
3,0.03,930.4335,-474.5318,122.6465,122.3481,122.2719
4,0.04,930.4335,-474.5319,122.6468,122.3481,122.2719
5,0.05,930.4335,-474.5319,122.6468,122.3481,122.2719
6,0.06,930.4334,-474.5319,122.647,122.3481,122.2719
7,0.07,930.4334,-474.5319,122.6472,122.3481,122.2719
8,0.08,930.4334,-474.5319,122.6472,122.3481,122.2719
9,0.09,930.4333,-474.5319,122.6475,122.3481,122.2719
10,0.1,930.4333,-474.5319,122.6475,122.3481,122.2719
11,0.11,930.4333,-474.5319,122.6478,122.3481,122.2719
12,0.12,930.4333,-474.5319,122.6478,122.3481,122.2719
13,0.13,930.4332,-474.5319,122.6481,122.3481,122.2719
14,0.14,930.4332,-474.5319,122.6481,122.3481,122.2719
15,0.15,930.4332,-474.532,122.6484,122.3481,122.2719
16,0.16,930.4332,-474.532,122.6484,122.3481,122.2719
17,0.17,930.4331,-474.532,122.6487,122.3481,122.2719
18,0.18,930.4331,-474.532,122.6489,122.3481,122.2719
19,0.19,930.4331,-474.532,122.6489,122.3481,122.2719
20,0.2,930.4331,-474.532,122.6491,122.3481,122.2719
21,0.21,930.433,-474.532,122.6494,122.3481,122.2719
22,0.22,930.433,-474.532,122.6494,122.3481,122.2719
23,0.23,930.433,-474.532,122.6496,122.3481,122.2719
24,0.24,930.433,-474.532,122.6496,122.3481,122.2719
25,0.25,930.4329,-474.5321,122.6498,122.3481,122.2719
26,0.26,930.4329,-474.5321,122.6498,122.3481,122.2719
27,0.27,930.4329,-474.5321,122.6502,122.3481,122.2719
28,0.28,930.4329,-474.5321,122.6502,122.3481,122.2719
29,0.29,930.4328,-474.5321,122.6504,122.3481,122.2719
30,0.3,930.4328,-474.5322,122.6506,122.3481,122.2719
31,0.31,930.4328,-474.5322,122.6506,122.3481,122.2719
32,0.32,930.4327,-474.5322,122.6508,122.3481,122.2719
33,0.33,930.4327,-474.5322,122.6508,122.3481,122.2719
34,0.34,930.4327,-474.5323,122.651,122.3481,122.2719
35,0.35,930.4327,-474.5323,122.651,122.3481,122.2719
36,0.36,930.4326,-474.5323,122.6512,122.3481,122.2719
37,0.37,930.4326,-474.5323,122.6512,122.3481,122.2719
38,0.38,930.4326,-474.5323,122.6514,122.3481,122.2719
39,0.39,930.4326,-474.5323,122.6514,122.3481,122.2719
40,0.4,930.4326,-474.5323,122.6516,122.3481,122.2719
41,0.41,930.4326,-474.5323,122.6516,122.3481,122.2719
42,0.42,930.4325,-474.5324,122.6519,122.3481,122.2719
43,0.43,930.4325,-474.5324,122.6519,122.3481,122.2719
44,0.44,930.4325,-474.5324,122.6521,122.3481,122.2719
45,0.45,930.4325,-474.5324,122.6521,122.3481,122.2719
46,0.46,930.4324,-474.5324,122.6524,122.3481,122.2719
47,0.47,930.4324,-474.5324,122.6525,122.3481,122.2719
48,0.48,930.4324,-474.5324,122.6525,122.3481,122.2719
49,0.49,930.4324,-474.5324,122.6528,122.3481,122.2719
50,0.5,930.4324,-474.5324,122.6528,122.3481,122.2719
51,0.51,930.4323,-474.5324,122.653,122.3481,122.2719
52,0.52,930.4323,-474.5324,122.653,122.3481,122.2719
53,0.53,930.4323,-474.5324,122.6533,122.3481,122.2719
54,0.54,930.4323,-474.5324,122.6534,122.3481,122.2719
55,0.55,930.4323,-474.5324,122.6534,122.3481,122.2719
56,0.56,930.4322,-474.5324,122.6536,122.3481,122.2719
57,0.57,930.4322,-474.5324,122.6536,122.3481,122.2719
58,0.58,930.4322,-474.5325,122.6538,122.3481,122.2719
59,0.59,930.4322,-474.5325,122.6538,122.3481,122.2719
60,0.6,930.4322,-474.5325,122.6539,122.3481,122.2719
61,0.61,930.4321,-474.5325,122.6541,122.3481,122.2719
62,0.62,930.4321,-474.5325,122.6541,122.3481,122.2719
63,0.63,930.4321,-474.5326,122.6543,122.3481,122.2719
64,0.64,930.4321,-474.5326,122.6543,122.3481,122.2719
65,0.65,930.432,-474.5326,122.6545,122.3481,122.2719
