time,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed
2026-02-05T09:56:59.781Z,-1.2199,-0.0806,-0.3800,0.0223,-0.0117,-0.0280,28.41177928333333,76.92660646666666,223.2000,2.0578
2026-02-05T09:56:59.790Z,-0.8766,0.1508,-0.5813,0.0066,0.0432,-0.0276,28.41177928333333,76.92660646666666,223.2000,2.0578
2026-02-05T09:56:59.800Z,-0.7464,0.2106,-0.6445,0.0050,-0.0040,-0.0137,28.41177928333333,76.92660646666666,223.2000,2.0578
2026-02-05T09:56:59.809Z,-0.9160,0.0671,-0.2816,0.0087,0.0191,-0.0255,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.819Z,-0.9230,0.1174,-0.4664,-0.0063,-0.0389,-0.0267,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.830Z,-0.9026,0.3152,-0.4211,-0.0063,-0.0205,-0.0304,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.840Z,-0.5429,0.4350,-0.4855,-0.0171,-0.0085,-0.0203,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.850Z,-0.8834,0.0347,-0.4243,-0.0035,-0.0293,-0.0276,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.859Z,-0.9881,0.1609,-0.7053,-0.0280,-0.0726,-0.0334,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.870Z,-0.6789,0.5279,-0.7196,-0.0136,-0.0656,-0.0349,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.880Z,-0.2940,0.5021,-0.3054,-0.0159,-0.0348,-0.0295,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.890Z,-0.4598,0.4552,-0.9890,-0.0472,-0.0824,-0.0256,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.900Z,-0.4358,-0.2748,-0.1782,-0.0104,-0.0692,-0.0335,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.911Z,-0.2552,0.1538,-0.1807,-0.0332,-0.0483,-0.0336,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.920Z,-0.6660,0.1699,-0.9821,-0.0453,-0.1003,-0.0402,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.930Z,-0.5310,-0.2079,-0.2557,-0.0422,-0.0644,-0.0450,28.41176318333333,76.92661486666665,223.2000,2.0578
2026-02-05T09:56:59.940Z,-0.2979,-0.1836,-0.0213,-0.0573,-0.1021,-0.0465,28.41176318333333,76.92661486666665,223.2000,2.0578
