time,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed
2026-02-05T09:52:18.085Z,0.0368,0.4662,0.1221,-0.0059,0.0135,0.0022,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.093Z,0.0400,0.3506,-0.0790,-0.0053,-0.0076,0.0037,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.105Z,-0.0203,0.1710,0.1896,-0.0064,0.0064,-0.0010,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.114Z,-0.0365,0.3286,-0.0139,-0.0036,0.0010,-0.0003,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.123Z,0.0380,0.3553,0.3067,-0.0010,0.0113,0.0014,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.134Z,-0.0072,0.3538,-0.1667,-0.0065,-0.0039,0.0059,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.144Z,-0.0324,0.3453,0.1301,-0.0069,0.0103,-0.0007,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.156Z,0.0321,0.1839,0.1367,-0.0009,0.0059,0.0004,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.164Z,0.0309,0.4001,0.0962,-0.0022,-0.0028,0.0014,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.174Z,0.0524,0.4695,-0.0641,-0.0034,0.0051,0.0040,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.184Z,-0.0813,0.2095,0.1503,-0.0067,0.0172,0.0033,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.194Z,-0.0367,0.3426,-0.0139,-0.0026,-0.0044,-0.0006,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.205Z,0.0880,0.3173,0.2004,0.0002,0.0076,-0.0000,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.214Z,0.1238,0.3570,-0.0692,-0.0102,0.0103,0.0084,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.223Z,-0.1266,0.3202,0.0514,-0.0056,0.0081,-0.0008,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.234Z,0.0070,0.2132,0.1832,0.0022,-0.0086,-0.0009,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.244Z,-0.0178,0.3135,0.1155,-0.0045,0.0129,0.0024,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.256Z,0.1294,0.5532,-0.0134,-0.0098,0.0161,0.0036,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.264Z,-0.0193,0.1840,0.1223,-0.0028,0.0101,0.0030,28.416469184506077,76.92536022244467,0.0000,0.0000
2026-02-05T09:52:18.273Z,-0.0227,0.3002,0.0510,-0.0022,-0.0083,0.0015,28.416469184506077,76.92536022244467,0.0000,0.0000
