time,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed
2026-02-05T09:55:58.428Z,0.1492,-0.2115,-0.3063,0.0164,-0.0100,0.0224,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.436Z,0.1623,-0.1066,0.3741,0.0362,0.0681,0.0060,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.446Z,0.0936,0.0611,0.1903,0.0138,-0.0030,0.0070,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.457Z,0.2575,-0.1346,-0.1859,0.0144,0.0102,0.0108,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.467Z,0.4148,-0.0954,0.4899,0.0415,0.0759,0.0198,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.477Z,0.0122,0.0235,0.1720,0.0119,0.0664,-0.0036,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.486Z,-0.0065,0.0277,-0.2912,0.0377,-0.0064,0.0120,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.497Z,-0.0808,-0.0843,0.0709,0.0152,0.0510,0.0024,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.507Z,0.0560,-0.1596,-0.1858,0.0251,0.0008,0.0085,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.518Z,0.0115,-0.1126,-0.0219,0.0214,0.0738,-0.0028,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.527Z,-0.0096,-0.0325,0.0433,0.0171,0.0142,0.0115,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.536Z,0.2179,-0.1334,0.0015,0.0266,0.0348,0.0085,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.547Z,-0.0706,-0.2285,0.2435,0.0176,0.0464,0.0037,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.557Z,-0.3134,0.2138,-0.1848,0.0149,0.0148,0.0023,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.567Z,-0.2387,-0.0994,0.0750,0.0302,0.0277,-0.0033,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.577Z,0.3785,-0.3677,0.3758,0.0117,0.0281,0.0149,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.586Z,0.2105,-0.1207,-0.3209,0.0052,0.0560,0.0143,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.597Z,-0.1951,0.0034,0.2156,0.0343,0.0330,0.0075,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.607Z,-0.1951,0.0034,0.2156,-0.0070,0.0171,0.0049,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.617Z,-0.5085,-0.1935,-0.3122,-0.0053,-0.0134,0.0079,28.412113120214983,76.92626567078301,223.4000,3.7554
2026-02-05T09:55:58.627Z,0.7740,-0.4563,0.1825,0.0232,0.0818,0.0142,28.412113120214983,76.92626567078301,223.4000,3.7554
