time,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed
2026-02-05T09:56:31.744Z,0.1138,0.3560,-0.0145,0.0296,-0.0720,0.0110,28.41191717383321,76.92644885376308,0.0000,1.3376
2026-02-05T09:56:31.751Z,0.2160,0.2920,-0.4336,0.0340,-0.0950,0.0133,28.41191717383321,76.92644885376308,0.0000,1.3376
2026-02-05T09:56:31.763Z,0.4218,0.0474,0.6046,0.0738,-0.0387,0.0119,28.41191717383321,76.92644885376308,0.0000,1.3376
2026-02-05T09:56:31.771Z,0.0507,0.6542,0.0883,0.0381,-0.0909,0.0093,28.41191717383321,76.92644885376308,0.0000,1.3376
2026-02-05T09:56:31.781Z,0.3512,0.3022,-0.5548,0.0488,-0.0999,0.0117,28.41191717383321,76.92644885376308,0.0000,1.3376
2026-02-05T09:56:31.791Z,0.5119,0.1565,0.7530,0.0856,-0.0310,0.0133,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.801Z,0.2446,0.4770,0.1127,0.0568,-0.0971,0.0080,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.814Z,0.3967,0.6465,-0.1308,0.0750,-0.0682,0.0063,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.821Z,0.3892,0.1695,0.6357,0.0858,-0.0345,0.0112,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.831Z,0.2374,-0.0657,-0.1796,0.0676,-0.0979,0.0168,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.841Z,0.1329,0.3775,0.1313,0.0785,-0.0173,0.0025,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.850Z,0.6931,0.1893,0.3162,0.0766,-0.0533,0.0176,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.864Z,0.3078,-0.0099,-0.0285,0.0687,-0.0405,0.0181,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.871Z,0.4707,-0.2575,0.7414,0.0845,0.0063,0.0170,28.41190265254737,76.9264613749892,224.2000,1.2347
2026-02-05T09:56:31.881Z,0.6236,0.1700,0.5249,0.0633,-0.0255,0.0255,28.41190265254737,76.9264613749892,224.2000,1.2347
