trip_id,start_dist,end_dist,mean_lat,mean_lon,mean_speed_kmh,predicted_iri,label_mid,paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,speed_bump_asphalt,speed_bump_cobblestone
PVS 1,0.0,100.0,-27.71780938671611,-51.098903636178406,3.205478677611608,2.5971808433532715,0,1,0,0,0,1,0,0
PVS 1,10.0,110.0,-27.717473634479244,-51.09931309697758,33.9799968,2.5971808433532715,0,1,0,0,0,1,0,0
PVS 1,20.0,120.0,-27.717369880568228,-51.09943353539743,40.46348747581552,2.5971808433532715,0,1,0,0,0,1,0,0
PVS 1,30.0,130.0,-27.717301638765104,-51.099512410935596,42.6280378975089,2.5971808433532715,0,1,0,0,0,1,0,0
PVS 1,40.0,140.0,-27.71724066058765,-51.09958234175327,44.17994936609335,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,50.0,150.0,-27.717184818985032,-51.099645328985886,45.13649942713567,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,60.0,160.0,-27.717121843866305,-51.099715970411324,46.218172469922884,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,70.0,170.0,-27.717048654652583,-51.099797785323005,47.55035999365917,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,80.0,180.0,-27.716985262580135,-51.09986826468108,49.001033571077755,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,90.0,190.0,-27.7169212978491,-51.09993891514301,50.507408588764044,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,100.0,200.0,-27.71685497930681,-51.1000113397899,51.99747973179189,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,110.0,210.0,-27.716789774938455,-51.100082098040915,53.44235321723625,1.8458579778671265,0,1,0,0,0,1,0,0
PVS 1,120.0,220.0,-27.716727922173654,-51.10014899911456,54.80660642926829,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,130.0,230.0,-27.71666338852823,-51.100218794055685,56.228811794999984,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,140.0,240.0,-27.71659481070691,-51.10029296891374,57.741363806099514,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,150.0,250.0,-27.71654209373862,-51.100349455206846,58.81704268235294,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,160.0,260.0,-27.71650767822866,-51.100385572086516,59.39564788514851,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,170.0,270.0,-27.71648420883174,-51.10040978553341,59.70058784850499,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,180.0,280.0,-27.716444202033298,-51.10044902245134,59.95972991399999,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,190.0,290.0,-27.71637658519161,-51.10051355496902,60.170029476923084,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,200.0,300.0,-27.71631056082758,-51.10057563010136,60.43624024537815,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,210.0,310.0,-27.716243140398152,-51.100638637044156,60.735427783783784,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,220.0,320.0,-27.716164557661237,-51.10071152638334,61.15258611428571,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,230.0,330.0,-27.716082262455078,-51.10078775613853,61.60218250684932,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,240.0,340.0,-27.7159889772294,-51.10087378860083,62.15809548186529,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,250.0,350.0,-27.715890858608244,-51.10096414847983,62.75256145130891,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,260.0,360.0,-27.715782106763484,-51.1010640087624,63.43426484444445,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,270.0,370.0,-27.715665114358366,-51.10117127424919,64.1704875080214,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,280.0,380.0,-27.71556444848003,-51.10126279329781,64.88069434378377,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,290.0,390.0,-27.715491325717117,-51.10132783166292,65.53746113442624,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,300.0,400.0,-27.715422251196777,-51.101389158393644,66.13195813676471,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,310.0,410.0,-27.71534716202588,-51.10145575042674,66.74650306864564,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,320.0,420.0,-27.71527954156533,-51.101515725551515,67.25966328,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,330.0,430.0,-27.715203652505224,-51.10158296693802,67.81287505084747,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,340.0,440.0,-27.715136247539856,-51.101642627865765,68.26980248197344,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,350.0,450.0,-27.715062009153257,-51.101708408709705,68.74862977786259,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,360.0,460.0,-27.714994138845295,-51.10176855702869,69.16256113153845,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,370.0,470.0,-27.714919302825688,-51.10183498895566,69.49034684478764,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,380.0,480.0,-27.71485027633417,-51.10189626561993,69.7538305116279,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,390.0,490.0,-27.7147764093434,-51.10196214806178,69.84684162873786,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,400.0,500.0,-27.71470723139393,-51.10202393092029,69.88442811728156,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,410.0,510.0,-27.714633951023846,-51.102090101919345,69.78415139302327,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,420.0,520.0,-27.714563920538534,-51.10215352134028,69.66144233268858,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,430.0,530.0,-27.714492891951142,-51.102219008639935,69.55692489748549,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,440.0,540.0,-27.714424108832155,-51.10228278977495,69.45630296525097,1.2128446102142334,0,1,0,0,0,1,0,0
PVS 1,450.0,550.0,-27.714356176697184,-51.10234723558794,69.42497954594597,1.2769027561086854,0,1,0,0,0,1,0,0
PVS 1,460.0,560.0,-27.71428920761945,-51.102411281628235,69.41127806705202,1.3146836993691906,0,1,0,0,0,1,0,0
PVS 1,470.0,570.0,-27.714222480319933,-51.10247702722926,69.56049902205028,1.3427366018295288,0,1,0,0,0,1,0,0
PVS 1,480.0,580.0,-27.71415593207817,-51.10254326685732,69.75042831627908,1.3427366018295288,0,1,0,0,0,1,0,0
PVS 1,490.0,590.0,-27.71409091052868,-51.1026106083083,70.16333261754386,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,500.0,600.0,-27.714024725000503,-51.102679764291224,70.6189392564706,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,510.0,610.0,-27.7139604327929,-51.102750222478065,71.27457671762376,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,520.0,620.0,-27.71389543835463,-51.10282188210982,71.949122784,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,530.0,630.0,-27.7138324058724,-51.10289536487453,72.64220167272727,1.8458579778671265,0,1,0,0,0,1,0,0
PVS 1,540.0,640.0,-27.713769708660184,-51.102968792788275,73.32977144602853,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,550.0,650.0,-27.713708096284442,-51.10304533195716,73.96723366666666,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,560.0,660.0,-27.713647137565673,-51.10312156350267,74.59358071369294,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,570.0,670.0,-27.7135866666938,-51.10319989138984,75.16790697118998,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,580.0,680.0,-27.713526526844255,-51.10327820386252,75.73088137263157,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,590.0,690.0,-27.713469126861472,-51.10335582145624,76.23117174661016,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,600.0,700.0,-27.713409923949445,-51.103436567937784,76.73539163076923,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,610.0,710.0,-27.71335527718551,-51.1035128755929,77.15638385922747,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,620.0,720.0,-27.71329548657247,-51.103596673672115,77.60454364924405,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,630.0,730.0,-27.7132433036624,-51.10367088566134,77.97831998961038,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,640.0,740.0,-27.71318244356096,-51.1037578651097,78.43066229868995,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,650.0,750.0,-27.713133078828786,-51.10382859360286,78.78614591422318,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,660.0,760.0,-27.71307210095139,-51.10391657457335,79.19714429603525,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,670.0,770.0,-27.71302066729953,-51.10399192739418,79.53944505132743,1.8458579778671265,0,1,0,0,0,1,0,0
PVS 1,680.0,780.0,-27.71296261012482,-51.104077756916574,79.92648956,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,690.0,790.0,-27.71290970046971,-51.10415603851827,80.27874258749999,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,700.0,800.0,-27.71285460311289,-51.10423777182879,80.61758545771814,1.8902190923690796,0,1,0,0,0,1,0,0
PVS 1,710.0,810.0,-27.712798650194845,-51.10432121922491,80.94118979325842,1.8458579778671265,0,1,0,0,0,1,0,0
PVS 1,720.0,820.0,-27.712747079583224,-51.10439861395546,81.25938791512414,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,730.0,830.0,-27.71268861127545,-51.104486813782934,81.67534043727272,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,740.0,840.0,-27.712639959184074,-51.104560522701426,82.00524000546697,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,750.0,850.0,-27.712579497189456,-51.10465178470431,82.41066924302059,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,760.0,860.0,-27.712530550967468,-51.104725882733504,82.76133414620689,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,770.0,870.0,-27.712473485807326,-51.10481196803666,83.17626745,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,780.0,880.0,-27.712420057853667,-51.10489223705891,83.57462938190254,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,790.0,890.0,-27.71236771493848,-51.104970775707514,83.96014554672897,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,800.0,900.0,-27.712310018245873,-51.105056892874785,84.39186938873239,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,810.0,910.0,-27.712257868020885,-51.10513460003007,84.81355742547171,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,820.0,920.0,-27.71219939716434,-51.105221445598964,85.2829343829384,1.3977473974227905,0,1,0,0,0,1,0,0
PVS 1,830.0,930.0,-27.71214730196283,-51.105298264944054,85.65422659714287,1.3427366018295288,0,1,0,0,0,1,0,0
PVS 1,840.0,940.0,-27.712090269146604,-51.10538237178198,86.0484362985646,1.3427366018295288,0,1,0,0,0,1,0,0
